h,k,l,intensity_exp,intensity_exp_err
-0.333333333333333,1.0,3.0,0.0398090783849397,0.0
-0.666666666666667,1.0,3.0,1.07111340488445,0.0
-1.33333333333333,1.0,3.0,5.26981137372105,0.0
-1.66666666666667,1.0,3.0,7.36791061560626,0.0
-2.33333333333333,1.0,3.0,11.263058776245,0.0
-2.66666666666667,1.0,3.0,0.742367370361754,0.0
-3.33333333333333,1.0,3.0,7.05266830060923,0.0
-3.66666666666667,1.0,3.0,9.02753638891511,0.0
-4.33333333333333,1.0,3.0,14.8363559798346,0.0
-4.66666666666667,1.0,3.0,0.538111341530907,0.0
-0.0,1.33333333333333,3.0,37.4873624788797,0.0
-0.333333333333333,1.33333333333333,3.0,0.0,0.0
-0.666666666666667,1.33333333333333,3.0,0.0,0.0
-1.0,1.33333333333333,3.0,9.869304286156,0.0
-1.33333333333333,1.33333333333333,3.0,0.0,0.0
-1.66666666666667,1.33333333333333,3.0,0.0,0.0
-2.0,1.33333333333333,3.0,20.4466025947135,0.0
-2.33333333333333,1.33333333333333,3.0,0.0,0.0
-2.66666666666667,1.33333333333333,3.0,0.0,0.0
-3.0,1.33333333333333,3.0,3.16564361658959,0.0
-3.33333333333333,1.33333333333333,3.0,0.0,0.0
-3.66666666666667,1.33333333333333,3.0,0.0,0.0
-4.0,1.33333333333333,3.0,7.91558967702098,0.0
-4.33333333333333,1.33333333333333,3.0,0.0,0.0
-4.66666666666667,1.33333333333333,3.0,0.0,0.0
-5.0,1.33333333333333,3.0,0.0,0.0
-0.0,1.66666666666667,3.0,0.562353880533707,0.0
-0.333333333333333,1.66666666666667,3.0,0.0,0.0
-0.666666666666667,1.66666666666667,3.0,0.0,0.0
-1.0,1.66666666666667,3.0,7.50850458048003,0.0
-1.33333333333333,1.66666666666667,3.0,0.0,0.0
-1.66666666666667,1.66666666666667,3.0,0.0,0.0
-2.0,1.66666666666667,3.0,0.405643508978065,0.0
-2.33333333333333,1.66666666666667,3.0,0.0,0.0
-2.66666666666667,1.66666666666667,3.0,0.0,0.0
-3.0,1.66666666666667,3.0,3.0019047500425,0.0
-3.33333333333333,1.66666666666667,3.0,0.0,0.0
-3.66666666666667,1.66666666666667,3.0,0.0,0.0
-4.0,1.66666666666667,3.0,0.213630443814088,0.0
-4.33333333333333,1.66666666666667,3.0,0.0,0.0
-4.66666666666667,1.66666666666667,3.0,0.0,0.0
-5.0,1.66666666666667,3.0,0.0,0.0
-0.333333333333333,2.0,3.0,0.353184895790791,0.0
-0.666666666666667,2.0,3.0,0.704646195090823,0.0
-1.33333333333333,2.0,3.0,12.5903692540205,0.0
-1.66666666666667,2.0,3.0,0.0,0.0
-2.33333333333333,2.0,3.0,5.42959076350616,0.0
-2.66666666666667,2.0,3.0,8.68385808823764,0.0
-3.33333333333333,2.0,3.0,16.1933256451919,0.0
-3.66666666666667,2.0,3.0,0.492924171585203,0.0
-4.33333333333333,2.0,3.0,6.5331569158188,0.0
-4.66666666666667,2.0,3.0,3.70098071502138,0.0
-0.0,2.33333333333333,3.0,3.42942602945159,0.0
-0.333333333333333,2.33333333333333,3.0,0.0,0.0
-0.666666666666667,2.33333333333333,3.0,0.0,0.0
-1.0,2.33333333333333,3.0,3.75918603823492,0.0
-1.33333333333333,2.33333333333333,3.0,0.0,0.0
-1.66666666666667,2.33333333333333,3.0,0.0,0.0
-2.0,2.33333333333333,3.0,1.55084974710091,0.0
-2.33333333333333,2.33333333333333,3.0,0.0,0.0
-2.66666666666667,2.33333333333333,3.0,0.0,0.0
-3.0,2.33333333333333,3.0,3.42295118943467,0.0
-3.33333333333333,2.33333333333333,3.0,0.0,0.0
-3.66666666666667,2.33333333333333,3.0,0.0,0.0
-4.0,2.33333333333333,3.0,0.579412876090051,0.0
-4.33333333333333,2.33333333333333,3.0,0.0,0.0
